id,idGroup,name,portion,idUnit,grossWeight,netWeight,energyK,energyJ,protein,lipids,carbohydrates,fiber
156,1,Arándano fresco,125,2,125,123,56,236,0.5,0.2,14.9,5.6
158,1,Blueberries,0.75,0,109,107,61,255,0.7,0.4,15.4,2.6
175,1,Chicozapote,0.5,1,85,75,62,259,0.3,0.8,14.9,4
187,1,Dátil seco,2,1,17,17,46,192,0.3,0,12.4,1.1
212,1,Guanábana,1,7,350,238,90,377,1,3.8,15.5,9
216,1,Higo deshidratado,1,1,19,19,47,197,0.6,0.2,11.9,1.8
232,1,Mango ataulfo,0.5,1,95,62,40,167,0.3,0.2,10.5,1.1
234,1,Mango en almíbar enlatado,1,1,61,61,56,234,0.3,0.1,15,0.1
239,1,Manzana,1,1,138,106,55,230,0.3,0.2,14.7,2.6
242,1,Manzana cocida,0.5,0,86,86,44,184,0.2,0.1,11.7,2.1
244,1,Manzana en almíbar,1,1,24,24,54,226,0,0,15.7,2.1
249,1,Manzana roja,0.75,1,139,107,63,262,0.2,0.4,16.3,2.9
251,1,Manzana verde,0.5,1,93,71,42,176,0.2,0.3,10.8,1.9
278,1,Orejones de manzana,9,1,23,23,55,230,0.2,0.1,14.8,2
279,1,Orejones de pera,1,1,18,18,47,197,0.3,0.1,12.5,1.3
282,1,Papilla de chabacano con tapioca,0.75,9,98,98,61,255,0.3,0,16.9,1.5
285,1,Papilla de frutas mixtas,0.75,9,98,98,59,247,0.2,0,16,-1
286,1,Papilla de guayaba y papaya con tapioca,0.75,9,98,98,61,255,0.2,0.1,16.6,-1
287,1,Papilla de mango con tapioca,0.67,9,85,85,59,247,0.3,0.2,16.1,0.9
288,1,Papilla de manzana,0.67,9,85,85,61,255,0.3,0,16.6,-1
290,1,Papilla de pera,0.75,9,98,98,56,234,0.3,0.1,13.3,1.2
292,1,Papilla de plátano y piña con tapioca,0.75,9,98,98,66,276,0.2,0.1,17.9,1.6
296,1,Pera,0.5,1,95,81,47,197,0.3,0.1,12.5,2.5
303,1,Pera en almíbar,0.5,1,76,76,44,184,0.3,0.1,11.7,2.4
310,1,Perón,1,1,150,105,65,272,0.4,0.4,16.7,2.2
314,1,Piña en almíbar,1,11,50,50,42,176,0.2,0.1,10.8,0.4
316,1,Piña picada,0.75,0,124,124,62,259,0.7,0.1,16.2,1.7
317,1,Piña rebanada,1,11,84,84,42,176,0.5,0.1,11,1.2
338,1,Puré de manzana,6,3,83,83,63,264,0.1,0.1,16.4,1
339,1,Puré de manzana sin azúcar,0.5,0,122,122,52,218,0.2,0.1,13.8,1.5
372,1,Zapote amarillo,0.33,1,100,62,49,205,0.7,0.3,12.4,0.7
373,1,Zapote blanco,0.33,1,100,76,53,222,1.3,0.5,12.2,0.9
375,1,Zapote negro,0.5,1,150,93,52,218,0.7,0.1,13.5,1.1
376,1,Zapote negro limpio,0.5,0,115,115,64,268,0.9,0.1,16.7,1.4
