id,idGroup,name,portion,idUnit,grossWeight,netWeight,energyK,energyJ,protein,lipids,carbohydrates,fiber
1,0,Acelga picada cocida,0.5,0,72,72,19,79,1.9,0.1,3.9,2.1
4,0,Apio crudo,1.5,0,152,135,22,92,0.9,0.2,4,2.5
11,0,Brócoli cocido,0.5,0,92,92,26,109,2.7,0.4,4.6,2.7
15,0,Calabaza de Castilla cocida,0.5,0,110,110,22,92,0.8,0.1,5.4,1.2
23,0,Champiñón crudo entero,1,0,96,93,20,84,2.9,0.3,3.1,0.9
44,0,Cilantro picado crudo,1.75,0,105,105,24,117,2.2,0.5,3.9,2.9
67,0,Espinaca cocida,0.5,0,90,90,21,88,2.7,0.2,3.4,3.2
68,0,Espinaca cruda picada,2,0,120,120,28,117,3.4,0.4,4.4,2.6
90,0,Hongos crudos,1.5,0,105,95,26,71,3,0.4,4.2,2.4
95,0,Jitomate,120,2,120,113,20,84,1,0.2,4.4,1.4
102,0,Jugo de tomate,0.5,0,122,122,21,88,0.9,0.1,5.1,0.5
105,0,Lechuga,3,0,141,135,23,96,1.7,0.4,4.5,2.8
110,0,Morillas deshidratadas,10,2,10,10,27,113,3.2,0.4,4.4,2.5
111,0,Morillas frescas,110,2,110,94,25,105,3,0.4,4.1,2.3
113,0,Nopal cocido,1,0,149,149,22,92,2,0.1,4.9,3
117,0,Papaloquelite crudo,2,0,120,108,24,100,1.9,0.3,3.1,1
122,0,Perejil crudo picado,1,0,60,60,22,92,1.8,0.5,3.8,2
131,0,Puré de tomate enlatado,0.25,0,63,63,24,100,1,0.1,5.6,1.5
132,0,Quelite crudo,80,2,80,66,26,109,3.1,0.3,2.6,0.8
133,0,Rábano crudo rebanado,1.25,0,145,131,21,71,0.9,0.1,4.4,2.1
134,0,Romeritos crudos,120,2,120,72,26,109,2.6,0.1,3.5,0.7
142,0,Verdolaga cocida,1,0,115,115,21,88,1.7,0.2,4.1,0.9
